campaign_id,campaign_name,project_id,platform,channel,start_date,end_date,campaign_objective,spend,impressions,clicks,landing_page_visits,leads,qualified_leads,appointments,site_visits,reservations,contracts,contracted_sales_value,attributed_revenue,agency,creative_theme,audience_segment
CMP-0001,Aurelia New Cairo - Events - Referral Bonus,AUR,Offline,Events,2024-10-29,2024-12-12,Launch Announcement,348548.41,5909620,5185,1776,408,233,118,86,21,13,111219282.77,110469275.21,Cairo Growth Partners,Investment Returns,Mass Affluent
CMP-0002,Aurelia New Cairo - Outdoor - Ramadan Campaign,AUR,Offline,Outdoor,2025-12-08,2026-01-18,Brand Awareness,235736.87,4722401,1981,980,211,90,40,29,9,6,43099789.81,39439990.51,In-House,Price Drop / Limited Units,Investor
CMP-0003,Aurelia New Cairo - Brokers - Summer Getaway,AUR,Broker Network,Brokers,2025-09-24,2025-11-16,Launch Announcement,0.0,34439,458,206,34,14,5,2,0,0,0.0,0.0,Momentum Digital,Investment Returns,First-Time Buyer
CMP-0004,Aurelia New Cairo - Brokers - Payment Plan Offer,AUR,Broker Network,Brokers,2026-05-11,2026-06-12,Retargeting,0.0,34518,324,136,39,18,6,3,0,0,0.0,0.0,In-House,Ramadan Campaign,Expat / Non-Resident
CMP-0005,Aurelia New Cairo - LinkedIn - Ramadan Campaign,AUR,Paid Social,LinkedIn,2024-10-18,2024-12-28,Launch Announcement,73193.05,1455245,1127,406,88,67,30,12,1,0,0.0,0.0,Momentum Digital,Summer Getaway,First-Time Buyer
CMP-0006,Aurelia New Cairo - TikTok - Payment Plan Offer,AUR,Paid Social,TikTok,2024-12-13,2025-01-13,Retargeting,106041.93,1691577,5116,2787,426,255,101,60,10,6,43906932.53,40722151.08,Momentum Digital,Ramadan Campaign,Mass Affluent
CMP-0007,Aurelia New Cairo - Call Center - Referral Bonus,AUR,Direct,Call Center,2025-06-10,2025-07-16,Brand Awareness,10635.36,121851,2423,595,185,105,52,33,7,4,35265197.67,33154943.26,Momentum Digital,Payment Plan Offer,High Net Worth
CMP-0008,Aurelia New Cairo - LinkedIn - New Phase Launch,AUR,Paid Social,LinkedIn,2024-09-01,2024-09-22,Retargeting,79792.66,1144137,651,603,105,76,29,10,1,0,0.0,0.0,In-House,New Phase Launch,First-Time Buyer
CMP-0009,Aurelia New Cairo - Google Search - Investment Returns,AUR,Paid Search,Google Search,2025-04-15,2025-06-08,Retargeting,321208.51,5177902,8554,4510,678,418,209,143,33,24,198547115.93,196252131.85,In-House,Referral Bonus,High Net Worth
CMP-0010,Aurelia New Cairo - LinkedIn - Grand Opening,AUR,Paid Social,LinkedIn,2025-09-12,2025-09-29,Launch Announcement,92365.68,910975,1076,486,137,81,36,22,5,3,20444548.24,18425074.62,In-House,Referral Bonus,Mass Affluent
CMP-0011,Aurelia New Cairo - Meta - Ramadan Campaign,AUR,Paid Social,Meta,2025-01-05,2025-02-04,Launch Announcement,228429.86,2770174,3225,2682,444,190,99,55,15,9,74779078.72,72888564.05,In-House,Price Drop / Limited Units,Investor
CMP-0012,Aurelia New Cairo - Google Search - New Phase Launch,AUR,Paid Search,Google Search,2025-05-14,2025-07-17,Launch Announcement,231269.2,5053381,7082,3585,534,287,149,85,25,18,129810071.02,121288538.2,Momentum Digital,Grand Opening,High Net Worth
CMP-0013,Aurelia New Cairo - TikTok - Payment Plan Offer,AUR,Paid Social,TikTok,2026-03-11,2026-04-15,Launch Announcement,136535.9,2997991,6119,3475,528,257,109,63,20,13,115393691.83,106906714.83,Cairo Growth Partners,New Phase Launch,Expat / Non-Resident
CMP-0014,Aurelia New Cairo - LinkedIn - Investment Returns,AUR,Paid Social,LinkedIn,2025-07-09,2025-09-07,Launch Announcement,81632.69,1727491,1038,808,133,60,25,18,4,2,14956896.29,14661914.19,Cairo Growth Partners,Ramadan Campaign,First-Time Buyer
CMP-0015,Aurelia New Cairo - Google Display - Investment Returns,AUR,Paid Display,Google Display,2024-11-21,2025-01-15,Launch Announcement,73995.63,913073,2622,654,218,104,43,24,6,3,22093923.77,21886539.59,Cairo Growth Partners,Ramadan Campaign,Investor
CMP-0016,Aurelia New Cairo - TikTok - Payment Plan Offer,AUR,Paid Social,TikTok,2026-01-15,2026-01-31,Brand Awareness,94956.96,2012675,2601,1987,338,270,147,48,5,3,24004624.82,22764988.24,In-House,Ramadan Campaign,Investor
CMP-0017,Aurelia New Cairo - Organic Website - Summer Getaway,AUR,Organic,Organic Website,2025-12-29,2026-01-28,Lead Generation,5073.2,65186,855,390,105,59,23,13,2,1,6936067.4,6359667.0,Momentum Digital,Payment Plan Offer,Investor
CMP-0018,Aurelia New Cairo - TikTok - New Phase Launch,AUR,Paid Social,TikTok,2025-07-12,2025-08-15,Brand Awareness,92947.81,758612,6030,3326,542,269,105,76,20,15,122851189.17,118484861.78,In-House,Grand Opening,Expat / Non-Resident
CMP-0019,Aurelia New Cairo - Organic Website - Grand Opening,AUR,Organic,Organic Website,2026-05-23,2026-06-16,Launch Announcement,5486.59,105255,1135,521,93,57,31,22,4,2,16462598.91,16155212.62,Cairo Growth Partners,Price Drop / Limited Units,Mass Affluent
CMP-0020,Aurelia New Cairo - LinkedIn - Payment Plan Offer,AUR,Paid Social,LinkedIn,2025-11-28,2026-01-22,Brand Awareness,92318.24,1700023,1628,541,135,99,44,19,2,1,8591271.3,7785342.71,Cairo Growth Partners,Grand Opening,High Net Worth
CMP-0021,Aurelia New Cairo - Google Search - Price Drop / Limited Units,AUR,Paid Search,Google Search,2025-09-26,2025-10-16,Lead Generation,232144.84,4873273,6481,3051,558,242,94,62,20,14,102892209.42,100686970.78,In-House,Payment Plan Offer,Investor
CMP-0022,Aurelia New Cairo - Organic Website - Ramadan Campaign,AUR,Organic,Organic Website,2024-08-22,2024-09-14,Launch Announcement,3189.88,65118,392,276,44,21,8,5,1,0,0.0,0.0,In-House,Price Drop / Limited Units,Expat / Non-Resident
CMP-0023,Coastline North - Outdoor - New Phase Launch,CST,Offline,Outdoor,2025-11-09,2025-12-02,Launch Announcement,132420.03,2123637,1728,900,166,96,46,36,10,5,20932640.39,18933066.37,Momentum Digital,Investment Returns,High Net Worth
CMP-0024,Coastline North - Organic Website - New Phase Launch,CST,Organic,Organic Website,2026-03-31,2026-06-10,Retargeting,2234.87,23131,235,161,36,17,6,4,1,0,0.0,0.0,Momentum Digital,Lifestyle & Community,Mass Affluent
CMP-0025,Coastline North - Organic Website - Summer Getaway,CST,Organic,Organic Website,2024-08-16,2024-09-17,Lead Generation,10018.79,137551,1444,399,133,66,30,22,4,2,8796095.89,8755080.39,Momentum Digital,Ramadan Campaign,First-Time Buyer
CMP-0026,Coastline North - TikTok - Referral Bonus,CST,Paid Social,TikTok,2025-10-03,2025-11-13,Brand Awareness,77921.19,659815,4319,1452,313,137,60,36,8,4,17776806.78,16265722.55,Momentum Digital,Price Drop / Limited Units,High Net Worth
CMP-0027,Coastline North - Referrals - Summer Getaway,CST,Referral,Referrals,2025-10-24,2025-11-09,Launch Announcement,9990.58,89379,1618,807,116,61,26,19,4,3,13439654.71,12390974.76,In-House,Investment Returns,First-Time Buyer
CMP-0028,Coastline North - Meta - Investment Returns,CST,Paid Social,Meta,2025-02-08,2025-04-05,Retargeting,99472.89,1606582,2688,1403,215,99,48,30,8,5,22893759.76,22111512.15,Momentum Digital,Payment Plan Offer,Expat / Non-Resident
CMP-0029,Coastline North - Google Display - Lifestyle & Community,CST,Paid Display,Google Display,2025-01-17,2025-03-20,Lead Generation,30957.13,574551,903,651,140,78,30,22,4,2,8943275.18,8190760.27,Cairo Growth Partners,Grand Opening,Mass Affluent
