milestone_id,project_id,phase,building,milestone_name,baseline_start_date,baseline_end_date,forecast_end_date,actual_end_date,planned_completion_pct,actual_completion_pct,variance_days,status,contractor,budgeted_cost,committed_cost,actual_cost,cost_variance,issue_category,issue_severity
MIL-0001,AUR,Phase 1,Building A,Excavation,2023-03-01,2023-04-25,2023-04-29,2023-04-29,10.0,100.0,4,Complete,Nile Engineering Contractors,29020652.07,29020652.07,28713119.59,-307532.48,,
MIL-0002,AUR,Phase 1,Building A,Foundations,2023-04-25,2023-06-06,2023-06-06,2023-06-06,20.0,100.0,-1,Complete,Delta Construction Group,31484048.72,31484048.72,31601631.9,117583.18,,
MIL-0003,AUR,Phase 1,Building A,Structural Frame,2023-06-06,2023-07-11,2023-07-22,2023-07-22,30.0,100.0,11,Complete,Modern Facade Systems,26828657.54,27242055.23,27778628.38,949970.84,,
MIL-0004,AUR,Phase 1,Building A,Facade,2023-07-11,2023-09-06,2023-09-14,2023-09-14,40.0,100.0,8,Complete,Nile Engineering Contractors,51028280.82,51028280.82,51830411.86,802131.04,,
MIL-0005,AUR,Phase 1,Building A,MEP,2023-09-06,2023-10-15,2023-10-15,2023-10-15,50.0,100.0,-2,Complete,Modern Facade Systems,40985675.98,40985675.98,40218016.43,-767659.55,,
MIL-0006,AUR,Phase 1,Building A,Internal Finishes,2023-10-15,2023-11-14,2023-11-25,2023-11-25,60.0,100.0,11,Complete,Prime MEP Solutions,57837035.42,57837035.42,58064963.89,227928.47,,
MIL-0007,AUR,Phase 1,Building A,Landscaping,2023-11-14,2023-12-19,2023-12-22,,70.0,0.0,3,Not Started,Delta Construction Group,27912123.22,27912123.22,0.0,-27912123.22,,
MIL-0008,AUR,Phase 1,Building A,Utilities Connection,2023-12-19,2024-01-15,2024-01-18,,80.0,0.0,3,Not Started,Cairo Structural Works,17827850.84,17827850.84,0.0,-17827850.84,,
MIL-0009,AUR,Phase 1,Building A,Authority Approvals,2024-01-15,2024-02-17,2024-02-17,,90.0,0.0,-4,Not Started,Nile Engineering Contractors,36513489.54,36513489.54,0.0,-36513489.54,,
MIL-0010,AUR,Phase 1,Building A,Testing & Commissioning,2024-02-17,2024-04-04,2024-04-25,,100.0,0.0,21,Not Started,Modern Facade Systems,33480351.7,33480351.7,0.0,-33480351.7,Permit Delay,MEDIUM
MIL-0011,AUR,Phase 1,Building B,Excavation,2023-03-01,2023-04-11,2023-04-11,2023-04-11,10.0,100.0,-3,Complete,Horizon Build Partners,25187600.0,25187600.0,25270879.3,83279.3,,
MIL-0012,AUR,Phase 1,Building B,Foundations,2023-04-11,2023-05-28,2023-07-07,2023-07-07,20.0,100.0,40,Complete (Delayed),Nile Engineering Contractors,49972410.43,50852451.75,51851899.96,1879489.53,Weather Delay,MEDIUM
MIL-0013,AUR,Phase 1,Building B,Structural Frame,2023-05-28,2023-06-30,2023-07-05,2023-07-05,30.0,100.0,5,Complete,Prime MEP Solutions,17679943.04,18064546.73,18418145.59,738202.55,,
MIL-0014,AUR,Phase 1,Building B,Facade,2023-06-30,2023-09-03,2023-09-03,2023-09-03,40.0,100.0,-3,Complete,Prime MEP Solutions,14444182.61,14599532.39,14888416.04,444233.43,,
MIL-0015,AUR,Phase 1,Building B,MEP,2023-09-03,2023-10-05,2023-10-05,2023-10-05,50.0,100.0,0,Complete,Nile Engineering Contractors,15314326.74,15314326.74,15010307.94,-304018.8,,
MIL-0016,AUR,Phase 1,Building B,Internal Finishes,2023-10-05,2023-11-23,2023-11-25,2023-11-25,60.0,100.0,2,Complete,Horizon Build Partners,17718516.13,17718516.13,17496983.17,-221532.96,,
MIL-0017,AUR,Phase 1,Building B,Landscaping,2023-11-23,2024-01-29,2024-02-02,,70.0,0.0,4,Not Started,Delta Construction Group,24923802.37,25034816.8,0.0,-24923802.37,,
MIL-0018,AUR,Phase 1,Building B,Utilities Connection,2024-01-29,2024-03-16,2024-03-16,,80.0,0.0,0,Not Started,Cairo Structural Works,58076060.02,58076060.02,0.0,-58076060.02,,
MIL-0019,AUR,Phase 1,Building B,Authority Approvals,2024-03-16,2024-04-23,2024-05-03,,90.0,0.0,10,Not Started,Modern Facade Systems,48553351.92,48553351.92,0.0,-48553351.92,,
MIL-0020,AUR,Phase 1,Building B,Testing & Commissioning,2024-04-23,2024-06-17,2024-06-25,,100.0,0.0,8,Not Started,Modern Facade Systems,22454329.03,22971863.62,0.0,-22454329.03,,
MIL-0021,AUR,Phase 1,Building C,Excavation,2023-03-01,2023-05-08,2023-05-13,2023-05-13,10.0,100.0,5,Complete,Modern Facade Systems,31378919.96,31613329.34,32240907.74,861987.78,,
MIL-0022,AUR,Phase 1,Building C,Foundations,2023-05-08,2023-07-09,2023-07-09,2023-07-09,20.0,100.0,-5,Complete,Cairo Structural Works,23400126.49,23400126.49,23293554.48,-106572.01,,
MIL-0023,AUR,Phase 1,Building C,Structural Frame,2023-07-09,2023-08-19,2023-09-22,2023-09-22,30.0,100.0,34,Complete (Delayed),Modern Facade Systems,9544932.88,9544932.88,9364221.43,-180711.45,Materials Procurement Delay,MEDIUM
MIL-0024,AUR,Phase 1,Building C,Facade,2023-08-19,2023-10-09,2023-10-09,2023-10-09,40.0,100.0,0,Complete,Modern Facade Systems,30726440.08,31225856.04,31840384.84,1113944.76,,
MIL-0025,AUR,Phase 1,Building C,MEP,2023-10-09,2023-11-22,2023-12-30,2023-12-30,50.0,100.0,38,Complete (Delayed),Horizon Build Partners,43431037.83,43910484.6,44779105.36,1348067.53,Permit Delay,MEDIUM
MIL-0026,AUR,Phase 1,Building C,Internal Finishes,2023-11-22,2024-01-09,2024-01-09,2024-01-09,60.0,100.0,0,Complete,Nile Engineering Contractors,47303737.34,47303737.34,46409332.11,-894405.23,,
MIL-0027,AUR,Phase 1,Building C,Landscaping,2024-01-09,2024-03-02,2024-03-06,,70.0,0.0,4,Not Started,Delta Construction Group,19356052.96,19356052.96,0.0,-19356052.96,,
MIL-0028,AUR,Phase 1,Building C,Utilities Connection,2024-03-02,2024-03-29,2024-04-07,,80.0,0.0,9,Not Started,Horizon Build Partners,22244729.22,22244729.22,0.0,-22244729.22,,
MIL-0029,AUR,Phase 1,Building C,Authority Approvals,2024-03-29,2024-05-20,2024-05-30,,90.0,0.0,10,Not Started,Cairo Structural Works,59900720.75,61559906.94,0.0,-59900720.75,,
MIL-0030,AUR,Phase 1,Building C,Testing & Commissioning,2024-05-20,2024-07-13,2024-07-18,,100.0,0.0,5,Not Started,Modern Facade Systems,56142163.98,56729658.8,0.0,-56142163.98,,
MIL-0031,AUR,Phase 1,Building D,Excavation,2023-03-01,2023-04-19,2023-05-22,2023-05-22,10.0,100.0,33,Complete (Delayed),Prime MEP Solutions,11569999.48,11569999.48,11479075.31,-90924.17,Labor Shortage,MEDIUM
MIL-0032,AUR,Phase 1,Building D,Foundations,2023-04-19,2023-06-07,2023-06-07,2023-06-07,20.0,100.0,-1,Complete,Prime MEP Solutions,34897683.78,35610185.78,36308139.46,1410455.68,,
MIL-0033,AUR,Phase 1,Building D,Structural Frame,2023-06-07,2023-08-13,2023-08-19,2023-08-19,30.0,100.0,6,Complete,Cairo Structural Works,27351216.02,27351216.02,26757056.65,-594159.37,,
MIL-0034,AUR,Phase 1,Building D,Facade,2023-08-13,2023-10-21,2023-10-21,2023-10-21,40.0,100.0,-5,Complete,Delta Construction Group,10253509.7,10253509.7,10103403.56,-150106.14,,
MIL-0035,AUR,Phase 1,Building D,MEP,2023-10-21,2023-12-06,2023-12-06,2023-12-06,50.0,100.0,-5,Complete,Prime MEP Solutions,41162289.77,41162289.77,41881578.66,719288.89,,
MIL-0036,AUR,Phase 1,Building D,Internal Finishes,2023-12-06,2024-01-10,2024-01-17,2024-01-17,60.0,100.0,7,Complete,Modern Facade Systems,49910930.0,50529359.85,51527578.45,1616648.45,,
MIL-0037,AUR,Phase 1,Building D,Landscaping,2024-01-10,2024-02-19,2024-02-25,,70.0,0.0,6,Not Started,Prime MEP Solutions,13450763.02,13450763.02,0.0,-13450763.02,,
MIL-0038,AUR,Phase 1,Building D,Utilities Connection,2024-02-19,2024-03-19,2024-03-19,,80.0,0.0,-5,Not Started,Horizon Build Partners,34273475.45,34273475.45,0.0,-34273475.45,,
MIL-0039,AUR,Phase 1,Building D,Authority Approvals,2024-03-19,2024-05-02,2024-05-07,,90.0,0.0,5,Not Started,Horizon Build Partners,29737026.01,29737026.01,0.0,-29737026.01,,
MIL-0040,AUR,Phase 1,Building D,Testing & Commissioning,2024-05-02,2024-05-27,2024-05-27,,100.0,0.0,-1,Not Started,Nile Engineering Contractors,13514144.25,13514144.25,0.0,-13514144.25,,
MIL-0041,AUR,Phase 2,Building A,Excavation,2023-03-01,2023-03-26,2023-04-09,2023-04-09,10.0,100.0,14,Complete,Horizon Build Partners,13179929.25,14201952.09,14465550.67,1285621.42,Materials Procurement Delay,MEDIUM
MIL-0042,AUR,Phase 2,Building A,Foundations,2023-03-26,2023-04-24,2023-05-05,2023-05-05,20.0,100.0,11,Complete,Cairo Structural Works,51437091.11,52286493.54,53315235.36,1878144.25,,
MIL-0043,AUR,Phase 2,Building A,Structural Frame,2023-04-24,2023-05-22,2023-05-23,2023-05-23,30.0,100.0,1,Complete,Prime MEP Solutions,57136650.24,57136650.24,57558131.37,421481.13,,
MIL-0044,AUR,Phase 2,Building A,Facade,2023-05-22,2023-07-13,2023-07-21,2023-07-21,40.0,100.0,8,Complete,Modern Facade Systems,24588927.57,25140884.18,25632662.74,1043735.17,,
